SPICY,ra,dec,l,b,GaiaDR2,source_id,parallax,D
105412,294.666963,20.640174,56.576001,-0.555214,1825961747705652352,1825961747705652352,0.5271702239944774,1.8969204907340818
105462,294.717882,20.646799,56.605173,-0.593469,1825982324872918400,1825982324872918400,3.3132211644010656,0.30182108298247906
105153,294.329303,20.520635,56.316891,-0.338231,1826000814731203072,1826000814731203072,0.3607958627066355,2.7716504077905793
105148,294.32328,20.599658,56.38306,-0.294664,1826002086041120128,1826002086041120128,0.5211710833824917,1.918755725106283
105138,294.312244,20.625964,56.400955,-0.272789,1826002738876175104,1826002738876175104,0.4703382521616652,2.126129430051713
105059,294.160361,20.553161,56.267963,-0.184306,1826003353034682624,1826003353034682624,0.2752599018503885,3.6329301626487105
105057,294.155808,20.562516,56.274046,-0.176019,1826003421754156672,1826003421754156672,0.3385854836563558,2.9534638910123525
105033,294.129602,20.549893,56.251052,-0.160764,1826004040229433600,1826004040229433600,0.5880196946502176,1.7006233109162239
105025,294.123984,20.545276,56.244455,-0.158425,1826004044536241920,1826004044536241920,0.5518214649167485,1.8121803220374304
105026,294.124918,20.550411,56.249364,-0.156683,1826004044546654720,1826004044546654720,0.2619697071970205,3.8172352471575133
105029,294.126301,20.551497,56.250944,-0.157283,1826004044546655616,1826004044546655616,0.3557246483694383,2.811163085222727
105049,294.146976,20.564751,56.27196,-0.167711,1826004181977144576,1826004181977144576,0.528577637,1.89186967060432
105132,294.299312,20.625027,56.394219,-0.262689,1826005315856565376,1826005315856565376,0.2719643611417311,3.6769523617061775
105191,294.388028,20.677477,56.480576,-0.309436,1826008854898173440,1826008854898173440,0.9943680813125474,1.0056638168433751
104971,294.02977,20.635621,56.280308,-0.037367,1826017307395882880,1826017307395882880,18.46559539698624,0.05415476612052322
105111,294.25019,20.747635,56.478718,-0.162667,1826019059740945024,1826019059740945024,0.1084500417934225,9.220835542920463
105146,294.322148,20.899462,56.644046,-0.147114,1826028366926923136,1826028366926923136,1.186336664585625,0.8429310412902812
105278,294.529354,20.872449,56.715284,-0.329136,1826038541716408448,1826038541716408448,0.5417740073135114,1.8457880712267623
105267,294.496888,21.097858,56.896907,-0.192236,1826055442394299392,1826055442394299392,0.4560353437416741,2.1928124951790147
105306,294.569921,21.120351,56.949913,-0.240592,1826061249198533120,1826061249198533120,0.4808789010003501,2.0795256309223515
105296,294.559843,21.195193,57.010528,-0.195697,1826065063129486208,1826065063129486208,2.392492964087792,0.4179740609524757
105314,294.578903,21.252425,57.069118,-0.183111,1826066991580805632,1826066991580805632,0.059973453,16.674044097477594
105373,294.636792,21.278594,57.118391,-0.217278,1826067330866249728,1826067330866249728,0.1191979764749815,8.389404162493397
105891,295.479619,21.035176,57.294268,-1.021108,1826079837811497088,1826079837811497088,0.4681316476154224,2.1361512409891925
105762,295.234874,21.055462,57.198864,-0.812572,1826089600269141248,1826089600269141248,0.1437037289049043,6.958761666245615
105692,295.048777,20.983767,57.050754,-0.696883,1826090905956450176,1826090905956450176,0.1278230055569544,7.823317842064257
105903,295.521334,21.299627,57.54327,-0.923828,1826122551278126336,1826122551278126336,1.0535054128973644,0.9492120189964538
106047,295.707846,21.597147,57.887762,-0.926867,1826137635203265920,1826137635203265920,0.2622508368123141,3.8131432187408927
105696,295.0583,21.256484,57.292403,-0.570128,1826143334606055296,1826143334606055296,0.0142943569732635,69.95767643626246
105688,295.045285,21.426487,57.434325,-0.475747,1826154535881316864,1826154535881316864,0.1561611297930038,6.403642195247496
105619,294.900438,21.425584,57.367102,-0.358858,1826160892432910464,1826160892432910464,0.3087742778429025,3.238611736009882
105443,294.701059,21.352408,57.212092,-0.233192,1826161682706662272,1826161682706662272,0.6781373497272014,1.4746275225841436
105440,294.697187,21.348896,57.207262,-0.231775,1826161682709772032,1826161682709772032,0.3506767723412847,2.851628847053442
105533,294.78948,21.447481,57.335351,-0.258167,1826163984813171840,1826163984813171840,2.484982734353286,0.40241728289522655
